anio,mes,origen,destino,producto,toneladas,precio
2018,Mayo,Caldas,Reino Unido,Café,563.48,2397.41
2018,Mayo,Cauca,Reino Unido,Café,135.97,503.04
2018,Mayo,Cundinamarca,Reino Unido,Café,57.67,185.25
2018,Mayo,Huila,Reino Unido,Café,115.35,382.35
2018,Mayo,Tolima,Reino Unido,Café,31.619999999999997,168.9
2018,Mayo,Valle del Cauca,Reino Unido,Café,37,205.55
2018,Mayo,Cundinamarca,Rumania,Café,38.56,124.54
2018,Mayo,Caldas,Rusia   ,Café,91.4,896.56
2018,Mayo,Cundinamarca,Rusia   ,Café,0.7,4.58
2018,Mayo,Huila,Rusia   ,Café,77,253.41000000000003
2018,Mayo,Quindío,Rusia   ,Café,82.71000000000001,292.6
2018,Mayo,Risaralda,Rusia   ,Café,38.43,121.47
2018,Mayo,Huila,Singapur,Café,38.48,119.69
2018,Mayo,Risaralda,Singapur,Café,20.04,65.32
2018,Mayo,Cundinamarca,Otros,Café,19.89,62.78
2018,Mayo,Antioquia,Suecia,Café,105.12,303.46
2018,Mayo,Caldas,Suecia,Café,275.21,944.8199999999999
2018,Mayo,Cauca,Suecia,Café,20.98,77.12
2018,Mayo,Quindío,Suecia,Café,21.03,67.42
2018,Mayo,Risaralda,Suecia,Café,20.96,63.03
2018,Mayo,Risaralda,Ucrania,Café,19.25,60.4
2018,Mayo,Antioquia,Ecuador,Café,80.69,883.75
2018,Mayo,Bogotá,Ecuador,Café,8.5,113.49000000000001
2018,Mayo,Antioquia,Aruba,Café,6.57,61.58
2018,Mayo,Valle del Cauca,Aruba,Café,2.59,29.58
2018,Mayo,Antioquia,Argentina,Café,14.51,104.11
2018,Mayo,Bogotá,Argentina,Café,19.92,33.44
2018,Mayo,Caldas,Argentina,Café,20,83.43
2018,Mayo,Cundinamarca,Argentina,Café,33.67,125.75
2018,Mayo,Quindío,Argentina,Café,19.94,63.9
2018,Mayo,Santander,Argentina,Café,0.7,2.63
2018,Mayo,Antioquia,Australia,Café,159.9,575.37
2018,Mayo,Santander,Bélgica,Café,201.38,606.18
2018,Mayo,Antioquia,Bolivia,Café,3.67,39.980000000000004
2018,Mayo,Antioquia,Brasil,Café,20,67.2
2018,Mayo,Magdalena,Canadá,Café,19.21,101.67
2018,Mayo,Santander,Canadá,Café,173.09,539.92
2018,Mayo,Antioquia,Costa Rica,Café,27.43,151.18
2018,Mayo,Antioquia,Cuba,Café,2.05,20.3
2018,Mayo,Bogotá,Curazao,Café,1.1800000000000002,19.96
2018,Mayo,Tolima,China,Café,13.5,232.65
2018,Mayo,Antioquia,Emiratos Árabes,Café,11.29,54.82
2018,Mayo,Bogotá,España,Café,58.43,197.77
2018,Mayo,Cauca,España,Café,45.71,175.13
2018,Mayo,Cundinamarca,España,Café,19.28,58.02
2018,Mayo,Huila,España,Café,247.09,767.67
2018,Mayo,Magdalena,España,Café,19.92,69.71
2018,Mayo,Santander,España,Café,41.33,128.13
2018,Mayo,Caldas,Finlandia,Café,162.16,619.4
2018,Mayo,Antioquia,Francia,Café,4.8,53.28
2018,Mayo,Santander,Francia,Café,38.54,135.95
2018,Mayo,Valle del Cauca,Francia,Café,15.2,129.77
2018,Mayo,Bogotá,Grecia,Café,19.94,68.56
2018,Mayo,Quindío,Grecia,Café,39.14,161.46
2018,Mayo,Santander,Grecia,Café,19.96,61.88
2018,Mayo,Tolima,Grecia,Café,19.22,57.91
2018,Mayo,Valle del Cauca,Grecia,Café,18.43,89.41
2018,Mayo,Antioquia,Guatemala,Café,11.62,111.07
2018,Mayo,Antioquia,Honduras,Café,5.26,31.98
2018,Mayo,Antioquia,Hong Kong,Café,13.95,70.21
2018,Mayo,Caldas,Israel,Café,19.24,63.4
2018,Mayo,Santander,Israel,Café,98.91,328
2018,Mayo,Tolima,Israel,Café,95.34,314.69
2018,Mayo,Antioquia,Italia,Café,199.09,643.02
2018,Mayo,Cundinamarca,Italia,Café,124.96,367.58
2018,Mayo,Risaralda,Italia,Café,603.72,1969.59
2018,Mayo,Santander,Italia,Café,300.37,979.89
2018,Mayo,Tolima,Italia,Café,21.02,71.84
2018,Mayo,Antioquia,México,Café,4.95,143.96
2018,Mayo,Caldas,México,Café,205.63,3312.33
2018,Mayo,Tolima,México,Café,8.64,87.7
2018,Mayo,Antioquia,Nicaragua,Café,4.3,40.730000000000004
2018,Mayo,Bogotá,Países Bajos,Café,0.55,10.34
2018,Mayo,Antioquia,Paraguay,Café,2.7199999999999998,44.290000000000006
2018,Mayo,Bogotá,Paraguay,Café,1.21,30.67
2018,Mayo,Antioquia,Perú,Café,11.17,124.30000000000001
2018,Mayo,Bogotá,Polonia,Café,1.52,18.71
2018,Mayo,Huila,Polonia,Café,21,69.26
2018,Mayo,Huila,Portugal,Café,19.23,57.56
2018,Mayo,Antioquia,Puerto Rico,Café,0.52,7.25
2018,Mayo,Norte de Santander,Reino Unido,Café,21.76,63.69
2018,Mayo,Antioquia,Rumania,Café,40.17,121.68
2018,Mayo,Caldas,Rumania,Café,19.96,63.18
2018,Mayo,Risaralda,Rumania,Café,63.01,189.12
2018,Mayo,Santander,Suecia,Café,21.03,63.79
2018,Mayo,Antioquia,Trinidad y Tobago,Café,8.96,96.33000000000001
2018,Mayo,Caldas,Ucrania,Café,19.18,59.08
2018,Mayo,Huila,Ucrania,Café,19.21,81.75
2018,Mayo,Santander,Ucrania,Café,19.23,59.34
2018,Mayo,Quindío,Aruba,Café,0.48,3.99
2018,Mayo,Valle del Cauca,Ecuador,Café,3.79,54.91
2018,Abril,Quindío,Alemania,Café,943.2,2931.6299999999997
2018,Abril,Risaralda,Alemania,Café,476.08,1488.38
2018,Abril,Antioquia,Australia,Café,137.83,443.34000000000003
2018,Abril,Antioquia,Canadá,Café,1017.6300000000001,3231.76
2018,Abril,Bogotá,Corea,Café,230.96,730.17
2018,Abril,Valle del Cauca,Corea,Café,192.51,625.1999999999999
2018,Abril,Cundinamarca,Chile,Café,1.09,5.29
2018,Abril,Caldas,China,Café,73.25,434.96000000000004
2018,Abril,Cundinamarca,Taiwán- Provincia de China,Café,116.73,363.14000000000004
2018,Abril,Quindío,El Salvador,Café,2.25,27.790000000000003
2018,Abril,Bogotá,Emiratos Árabes,Café,0.01,0.61
2018,Abril,Bogotá,España,Café,5.81,49.64
2018,Abril,Quindío,España,Café,43.53,131.28
2018,Abril,Antioquia,Estados Unidos,Café,4518.040000000001,18736.780000000002
2018,Abril,Bogotá,Estados Unidos,Café,555.43,1839.1200000000003
2018,Abril,Caldas,Estados Unidos,Café,8454.43,29395.949999999997
2018,Abril,Quindío,Estados Unidos,Café,2480.79,8043.92
2018,Abril,Risaralda,Estados Unidos,Café,2353.2599999999998,7317.25
2018,Abril,Santander,Estados Unidos,Café,1340.13,4285.5599999999995
2018,Abril,Risaralda,Japón,Café,839.6700000000001,2611.94
2018,Abril,Tolima,Japón,Café,436.02,1489.52
2018,Abril,Bogotá,México,Café,2.35,32.68
2018,Abril,Bogotá,Panamá,Café,6.569999999999999,91.10000000000001
2018,Abril,Bogotá,Paraguay,Café,0.14,2.87
2018,Abril,Bogotá,Perú,Café,0.31000000000000005,8.12
2018,Abril,Cundinamarca,Perú,Café,1.25,13.58
2018,Abril,Quindío,Perú,Café,1.8,22.96
